Comune,Casi da inizio pandemia,Deceduti da inizio pandemia,Attuali ricoverati in rianimazione,Attuali ricoverati in altri reparti,In isolamento domiciliare ultimi 30gg
ACQUAFORMOSA,143,-,-,-,-
ACQUAPPESA,180,-,-,-,-
ACRI,2277,29,-,-,-
AIELLO CALABRO,137,-,-,-,-
AIETA,12,-,-,-,-
ALBIDONA,183,-,-,-,-
ALESSANDRIA DEL CARRETTO,25,-,-,-,-
ALTILIA,117,-,-,-,-
ALTOMONTE,621,-,-,-,-
ALTRA ASP,915,10,-,-,-
ALTRA REGIONE,598,11,-,-,-
AMANTEA,2512,21,-,-,-
AMENDOLARA,213,-,-,-,-
APRIGLIANO,440,10,-,-,-
BELMONTE CALABRO,234,-,-,-,-
BELSITO,170,-,-,-,-
BELVEDERE MARITTIMO,1058,10,-,-,-
BIANCHI,235,-,-,-,-
BISIGNANO,1413,17,-,-,-
BOCCHIGLIERO,119,7,-,-,-
BONIFATI,222,-,-,-,-
BUONVICINO,185,-,-,-,-
CALOPEZZATI,208,-,-,-,-
CALOVETO,206,-,-,-,-
CAMPANA,237,6,-,-,-
CANNA,64,-,-,-,-
CARIATI,816,12,-,-,-
CAROLEI,420,-,-,-,-
CARPANZANO,13,-,-,-,-
CASALI DEL MANCO,1731,20,-,-,-
CASSANO ALLO IONIO,2566,29,-,-,-
CASTIGLIONE COSENTINO,499,-,-,-,-
CASTROLIBERO,1646,14,-,-,-
CASTROREGIO,16,-,-,-,-
CASTROVILLARI,2468,25,-,-,-
CELICO,422,7,-,-,-
CELLARA,84,-,-,-,-
CERCHIARA DI CALABRIA,226,-,-,-,-
CERISANO,488,-,-,-,-
CERVICATI,114,-,-,-,-
CERZETO,224,-,-,-,-
CETRARO,1483,19,-,-,-
CIVITA,42,-,-,-,-
CLETO,117,-,-,-,-
COLOSIMI,183,-,-,-,-
CORIGLIANO-ROSSANO,13825,150,-,-,-
COSENZA,11860,123,-,-,-
CROPALATI,138,-,-,-,-
CROSIA,1475,13,-,-,-
DIAMANTE,337,-,-,-,-
DIPIGNANO,780,8,-,-,-
DOMANICO,174,-,-,-,-
FAGNANO CASTELLO,302,-,-,-,-
FALCONARA ALBANESE,209,-,-,-,-
FIGLINE VEGLIATURO,229,-,-,-,-
FIRMO,173,-,-,-,-
FIUMEFREDDO BRUZIO,471,-,-,-,-
FRANCAVILLA MARITTIMA,368,-,-,-,-
FRASCINETO,259,-,-,-,-
FUSCALDO,1212,8,-,-,-
GRIMALDI,219,-,-,-,-
GRISOLIA,354,-,-,-,-
GUARDIA PIEMONTESE,178,-,-,-,-
LAGO,339,-,-,-,-
LAINO BORGO,245,-,-,-,-
LAINO CASTELLO,117,-,-,-,-
LAPPANO,122,-,-,-,-
LATTARICO,653,6,-,-,-
LONGOBARDI,274,17,-,-,-
LONGOBUCCO,446,-,-,-,-
LUNGRO,220,6,-,-,-
LUZZI,1433,14,-,-,-
MAIERA',110,-,-,-,-
MALITO,81,-,-,-,-
MALVITO,181,6,-,-,-
MANDATORICCIO,415,-,-,-,-
MANGONE,316,-,-,-,-
MARANO MARCHESATO,594,8,-,-,-
MARANO PRINCIPATO,453,-,-,-,-
MARZI,183,-,-,-,-
MENDICINO,1633,6,-,-,-
MONGRASSANO,293,-,-,-,-
MONTALTO UFFUGO,4124,22,-,-,-
MONTEGIORDANO,214,-,-,-,-
MORANO CALABRO,263,9,-,-,-
MORMANNO,193,8,-,-,-
MOTTAFOLLONE,97,-,-,-,-
NOCARA,34,-,-,-,-
ORIOLO,112,-,-,-,-
ORSOMARSO,158,-,-,-,-
PALUDI,109,-,-,-,-
PANETTIERI,18,-,-,-,-
PAOLA,1946,24,-,-,-
PAPASIDERO,29,-,-,-,-
PARENTI,395,-,-,-,-
PATERNO CALABRO,283,-,-,-,-
PEDIVIGLIANO,108,-,-,-,-
PIANE CRATI,245,-,-,-,-
PIETRAFITTA,149,-,-,-,-
PIETRAPAOLA,160,-,-,-,-
PLATACI,65,-,-,-,-
PRAIA A MARE,486,7,-,-,-
RENDE,6850,46,-,-,-
ROCCA IMPERIALE,287,-,-,-,-
ROGGIANO GRAVINA,994,13,-,-,-
ROGLIANO,1043,8,-,-,-
ROSE,724,8,-,-,-
ROSETO CAPO SPULICO,147,-,-,-,-
ROTA GRECA,133,-,-,-,-
ROVITO,374,-,-,-,-
SAN BASILE,74,-,-,-,-
SAN BENEDETTO ULLANO,218,-,-,-,-
SAN COSMO ALBANESE,128,6,-,-,-
SAN DEMETRIO CORONE,303,-,-,-,-
SAN DONATO DI NINEA,145,-,-,-,-
SAN FILI,380,-,-,-,-
SAN GIORGIO ALBANESE,134,-,-,-,-
SAN GIOVANNI IN FIORE,2857,32,-,-,-
SAN LORENZO BELLIZZI,37,-,-,-,-
SAN LORENZO DEL VALLO,308,-,-,-,-
SAN LUCIDO,679,8,-,-,-
