Comune,Casi da inizio pandemia,Deceduti da inizio pandemia,Attuali ricoverati in rianimazione,Attuali ricoverati in altri reparti,In isolamento domiciliare ultimi 30gg
ACQUAFORMOSA,207,-,-,-,-
ACQUAPPESA,373,-,-,-,-
ACRI,3977,35,-,-,-
AIELLO CALABRO,326,-,-,-,-
AIETA,68,-,-,-,-
ALBIDONA,373,-,-,-,-
ALESSANDRIA DEL CARRETTO,48,-,-,-,-
ALTILIA,193,-,-,-,-
ALTOMONTE,946,-,-,-,-
ALTRA ASP,1048,15,-,-,-
ALTRA REGIONE,600,11,-,-,-
AMANTEA,4600,25,-,-,-
AMENDOLARA,304,-,-,-,-
APRIGLIANO,598,10,-,-,-
BELMONTE CALABRO,417,-,-,-,-
BELSITO,256,-,-,-,-
BELVEDERE MARITTIMO,1778,10,-,-,-
BIANCHI,378,-,-,-,-
BISIGNANO,2132,21,-,-,-
BOCCHIGLIERO,143,7,-,-,-
BONIFATI,405,7,-,-,-
BUONVICINO,346,-,-,-,-
CALOPEZZATI,486,-,-,-,-
CALOVETO,372,-,-,-,-
CAMPANA,284,7,-,-,-
CANNA,139,-,-,-,-
CARIATI,1234,16,-,-,-
CAROLEI,787,-,-,-,-
CARPANZANO,28,-,-,-,-
CASALI DEL MANCO,2748,23,-,-,-
CASSANO ALLO IONIO,4127,30,-,-,-
CASTIGLIONE COSENTINO,930,9,-,-,-
CASTROLIBERO,2621,18,-,-,-
CASTROREGIO,45,-,-,-,-
CASTROVILLARI,4276,31,-,-,-
CELICO,578,8,-,-,-
CELLARA,129,-,-,-,-
CERCHIARA DI CALABRIA,462,9,-,-,-
CERISANO,790,-,-,-,-
CERVICATI,189,-,-,-,-
CERZETO,324,-,-,-,-
CETRARO,2428,24,-,-,-
CIVITA,66,-,-,-,-
CLETO,285,-,-,-,-
COLOSIMI,400,-,-,-,-
CORIGLIANO-ROSSANO,22564,164,-,-,-
COSENZA,19028,153,-,-,-
CROPALATI,240,-,-,-,-
CROSIA,2636,17,-,-,-
DIAMANTE,907,8,-,-,-
